"S.no	Age Persona	Text ",,,,
"	Gen Z Starter (20–24)	",,,,
"		""Hi <first_name>","
		Happy Birthday _
		
		Today doesn’t need plans or overthinking - it’s just a good day to do something for yourself. 
		
		If you feel like treating yourself"," we’ve got styles that fit into your everyday and still feel special when you wear them.""",,
"		",,,,
"		""Explore online", see how they look on you with Virtual Try-On," or drop by a Mia store whenever it suits you.""",,
"		",,,,
"		Pick something you’ll love wearing",,,,
"		<short_link>",,,,
"		",,,,
"		Prefer seeing it in person?",,,,
"		Find a Mia store near you: <link>",,,,
"		",,,,
"		""— Always with you"," Mia""",,,
"	Young Achiever (25-29)	",,,,
"		""Hi <first_name>","
		Happy Birthday_
		
		Some milestones don’t need a big plan - just a choice that feels considered. If you’re thinking of marking today with something special"," our collections are designed to fit seamlessly into your everyday while still standing out.""",,
"		",,,,
"		Enjoy up to 10% off on select jewellery during your birthday period.",,,,
"		",,,,
"		Choose a piece that feels right for you",,,,
"		<short_link>",,,,
"		",,,,
"		Prefer seeing it in person?",,,,
"		Find a Mia store near you <link>",,,,
"		",,,,
"		- Mia",,,,
"	Life Builder (30-34)	",,,,
"		""Dear <first_name>","
		Warm birthday wishes from Mia_
		
		Every year brings moments worth acknowledging in a way that feels thoughtful and lasting. 
		
		If you’re considering marking today with something special"," our collections are designed to balance contemporary style with timeless appeal.""",,
"		",,,,
"		A birthday benefit is available on select jewellery during this period.",,,,
"		",,,,
"		Choose a piece that holds meaning beyond today",,,,
"		<short_link>",,,,
"		",,,,
"		Prefer seeing it in person?",,,,
"		Find a Mia store near you <link>",,,,
"		",,,,
"		— Mia by Tanishq",,,,
"	Family & Value Seeker (35-45)	",,,,
"		""Dear <first_name>","
		Wishing you a very Happy Birthday_
		
		Some celebrations call for a choice that feels assured - a piece that complements your style today and continues to feel right beyond the occasion. Our collections are designed with this sensibility at heart.
		
		A birthday privilege is available on select jewellery during this period.
		
		Choose a piece that reflects your sense of style
		<short_link>
		
		Prefer seeing it in person?
		Find a Mia store near you <link>
		
		— Team Mia
	Mature Optimiser (45+)	
		Dear <first_name>","
		Warm and thoughtful birthday wishes_
		
		Some birthdays are best marked with intention - celebrating taste", confidence," and a clear sense of what feels right."""
"		",,,,
"		""Our birthday selection is curated for individuals who choose with intention - pieces that don’t ask for attention"," yet always hold it.""",,,
"		",,,,
"		A birthday privilege is available on select jewellery should you wish to mark the day.",,,,
"		",,,,
"		Choose a piece that reflects who you are <short_link>",,,,
"		Prefer seeing it in person?",,,,
"		Find a Mia store near you <link>",,,,
"		",,,,
"		— Mia by Tanishq",,,,
